
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
BLC	150		91872	Algebra Workshop	2		.	T	.	.	.	.	.	7:00 PM	9:00 PM	Japheth Wood	None		22
BLC	180		91873	The Art of Public Speaking	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	David Register	None		18
BLC	190		91874	Algebra, Trigonometry, and Functions	2		.	.	W	.	.	.	.	7:30 PM	9:30 PM	Japheth Wood	None		22
BLC	205	A	91875	Essay and Revision	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Rachel Cavell	None		15
BLC	205	B	91876	Essay and Revision	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Jane Smith	None		15
BLC	235		91877	Composition Theory and Pedagogy	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	James Keller	None		30
CC	114		91870	Rooted and Mobile: The World of Natural Dyes	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Beka Goedde/Heeryoon Shin/Simeen Sattar/Thena Tak	AA PA 		45
CC	115		92180	What’s Yours is Mine: A Guide to Sharing, Borrowing, and Stealing	4		.	T	.	.	.	.	.	3:30 PM	4:50 PM	Cole Heinowitz/Mara Baldwin/Sarah Hennies	LA PA 		36
 	 		 			and	.	.	.	Th	.	.	.	3:30 PM	4:50 PM				
CC	116		92181	On Ambition	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	David Ungvary/Marina van Zuylen/Nabanjan Maitra/Robert Cioffi	FL MBV 		60
CC	117	B	92398	Rethinking Place	4		.	T	.	.	.	.	.	1:30 PM	2:50 PM	Christian Crouch/Peter L'Official	AA MBV 		66
 	 		 			and	.	.	.	Th	.	.	.	1:30 PM	2:50 PM				
CC	117	A	92455	 Rethinking Place: Art/Science Collaboration	4		.	T	.	.	.	.	.	1:30 PM	2:50 PM	Elias Dueker/Krista Caballero	AA MBV 		22
 	 		 			and	.	.	.	Th	.	.	.	1:30 PM	2:50 PM				
CC	117	C	92456	Rethinking Place: Methods and Theory	4		.	T	.	.	.	.	.	1:30 PM	2:50 PM	Luis Chavez/Margaux Kristjansson	AA MBV 		22
 	 		 			and	.	.	.	Th	.	.	.	1:30 PM	2:50 PM				
CC	118		92413	Ukraine and Decolonial Thought: History, Culture, Political Economy	4		.	.	.	Th	.	.	.	10:10 AM	11:30 AM	Gregory Moynahan/Maria Sonevytsky/Masha Shpolberg	AA SA 	D+J	30
 	 		 			and	.	T	.	.	.	.	.	10:10 AM	11:30 AM				
CHEM	141	I	91894	Basic Principles of Chemistry I	4		.	T	.	Th	.	.	.	10:10 AM	11:40 AM	Christopher LaFratta	LS 		24
CHEM	141	II	91895	Basic Principles of Chemistry I	4		.	T	.	Th	.	.	.	10:10 AM	11:40 AM	Matthew Greenberg	LS 		16
CHEM	141	LBA	91896	Basic Principles of Chemistry I	0		.	T	.	.	.	.	.	1:30 PM	3:30 PM	. TBA	LS 		14
CHEM	141	LBB	91897	Basic Principles of Chemistry I	0		.	T	.	.	.	.	.	4:00 PM	6:00 PM	. TBA	LS 		14
CHEM	141	LBC	91898	Basic Principles of Chemistry I	0		.	.	W	.	.	.	.	3:30 PM	5:30 PM	Matthew Greenberg	LS 		14
CHEM	141	LBD	91899	Basic Principles of Chemistry I	0		.	.	.	Th	.	.	.	1:30 PM	3:30 PM	. TBA	LS 		14
CHEM	152		91938	Experiments in Physical Chemistry	2		.	.	.	.	F	.	.	1:30 PM	3:30 PM	Christopher LaFratta	LS 		8
CHEM	201		91900	Organic Chemistry I: Structure/Mechanism	4		.	T	.	Th	.	.	.	8:30 AM	10:00 AM	Emily McLaughlin	LS 		24
CHEM	201	LBA	91901	Organic Chemistry I: Structure/Mechanism	0		.	.	W	.	.	.	.	12:00 PM	3:00 PM	. TBA	LS 		12
CHEM	201	LBB	91902	Organic Chemistry I: Structure/Mechanism	0		.	.	W	.	.	.	.	3:30 PM	6:30 PM	. TBA	LS 		12
CHEM	311		91903	Physical Chemistry	4		.	.	W	.	F	.	.	10:10 AM	11:40 AM	Christopher LaFratta	LS 		12
CHEM	360		91904	Advanced Techniques: Synthesis	4		M	.	.	.	.	.	.	12:30 PM	5:30 PM	Craig Anderson/Matthew Greenberg	LS 		12
 	 		 			and	.	.	.	.	F	.	.	12:00 PM	1:00 PM				
